iter	Passed	Remaining
0	203	202986
1	204	101837
2	204	68080
3	205	51199
4	206	41092
5	207	34330
6	207	29505
7	208	25882
8	209	23058
9	210	20805
10	211	18970
11	211	17433
12	212	16142
13	213	15036
14	214	14070
15	215	13222
16	215	12473
17	216	11803
18	217	11214
19	217	10679
20	218	10195
21	219	9759
22	220	9360
23	221	8989
24	221	8646
25	222	8333
26	223	8037
27	223	7765
28	224	7511
29	225	7276
30	225	7061
31	226	6859
32	227	6668
33	228	6485
34	229	6313
35	230	6159
36	230	6005
37	231	5866
38	232	5726
39	233	5594
40	233	5470
41	234	5354
42	235	5241
43	236	5134
44	237	5031
45	237	4931
46	238	4835
47	239	4744
48	239	4656
49	240	4574
50	241	4495
51	242	4417
52	243	4343
53	243	4273
54	244	4203
55	245	4135
56	245	4069
57	246	4006
58	247	3946
59	248	3890
60	249	3834
61	249	3778
62	250	3725
63	251	3673
64	251	3623
65	252	3574
66	253	3527
67	253	3481
68	254	3437
69	255	3395
70	256	3352
71	257	3312
72	257	3273
73	258	3234
74	259	3196
75	259	3159
76	260	3123
77	261	3088
78	262	3055
79	262	3023
80	263	2990
81	264	2960
82	264	2925
83	265	2895
84	266	2865
85	266	2836
86	267	2808
87	268	2782
88	269	2754
89	269	2729
90	270	2703
91	271	2677
92	272	2652
93	272	2629
94	273	2608
95	274	2585
96	275	2562
97	275	2539
98	276	2518
99	277	2496
100	278	2476
101	279	2456
102	279	2435
103	280	2417
104	281	2399
105	282	2381
106	283	2363
107	283	2344
108	284	2325
109	285	2308
110	286	2291
111	286	2274
112	287	2258
113	288	2241
114	289	2224
115	289	2208
116	290	2190
117	290	2174
118	291	2158
119	292	2143
120	293	2129
121	293	2114
122	294	2100
123	295	2085
124	296	2072
125	296	2058
126	297	2044
127	298	2030
128	298	2017
129	299	2006
130	300	1993
131	301	1982
132	302	1970
133	302	1957
134	303	1945
135	304	1934
136	305	1922
137	306	1911
138	306	1900
139	307	1890
140	308	1880
141	309	1868
142	310	1858
143	311	1848
144	311	1837
145	312	1827
146	313	1817
147	313	1806
148	314	1797
149	315	1789
150	316	1779
151	317	1770
152	317	1760
153	318	1752
154	319	1742
155	320	1733
156	321	1724
157	321	1714
158	322	1705
159	323	1697
160	323	1687
161	324	1679
162	325	1670
163	326	1662
164	326	1653
165	327	1645
166	328	1637
167	328	1629
168	329	1621
169	330	1614
170	331	1607
171	332	1600
172	333	1592
173	333	1585
174	334	1578
175	335	1570
176	336	1562
177	336	1554
178	337	1546
179	338	1539
180	338	1532
181	339	1526
182	340	1519
183	341	1513
184	341	1506
185	342	1499
186	343	1492
187	344	1486
188	344	1479
189	345	1472
190	346	1466
191	347	1460
192	347	1454
193	348	1449
194	349	1442
195	350	1436
196	351	1431
197	351	1425
198	352	1419
199	353	1414
200	354	1408
201	354	1402
202	355	1396
203	356	1391
204	357	1385
205	358	1380
206	358	1374
207	359	1369
208	360	1363
209	361	1358
210	361	1353
211	362	1347
212	363	1342
213	364	1336
214	364	1331
215	365	1326
216	366	1321
217	366	1316
218	367	1311
219	368	1306
220	369	1302
221	370	1297
222	371	1293
223	372	1289
224	372	1284
225	373	1279
226	374	1274
227	374	1269
228	375	1264
229	376	1260
230	377	1255
231	377	1250
232	378	1246
233	379	1241
234	380	1237
235	380	1232
